,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,job_category
0,2020,MI,FT,Data Scientist,70000,EUR,79833,DE,0,DE,L,Data Scientist
1,2020,SE,FT,Machine Learning Scientist,260000,USD,260000,JP,0,JP,S,Data Scientist
2,2020,SE,FT,Big Data Engineer,85000,GBP,109024,GB,50,GB,M,Data Engineer
3,2020,MI,FT,Product Data Analyst,20000,USD,20000,HN,0,HN,S,Data Analyst
4,2020,SE,FT,Machine Learning Engineer,150000,USD,150000,US,50,US,L,AI Professionals
5,2020,EN,FT,Data Analyst,72000,USD,72000,US,100,US,L,Data Analyst
6,2020,SE,FT,Lead Data Scientist,190000,USD,190000,US,100,US,S,Data Scientist
7,2020,MI,FT,Data Scientist,11000000,HUF,35735,HU,50,HU,L,Data Scientist
8,2020,MI,FT,Business Data Analyst,135000,USD,135000,US,100,US,L,Data Analyst
9,2020,SE,FT,Lead Data Engineer,125000,USD,125000,NZ,50,NZ,S,Data Engineer
10,2020,EN,FT,Data Scientist,45000,EUR,51321,FR,0,FR,S,Data Scientist
11,2020,MI,FT,Data Scientist,3000000,INR,40481,IN,0,IN,L,Data Scientist
12,2020,EN,FT,Data Scientist,35000,EUR,39916,FR,0,FR,M,Data Scientist
13,2020,MI,FT,Lead Data Analyst,87000,USD,87000,US,100,US,L,Data Analyst
14,2020,MI,FT,Data Analyst,85000,USD,85000,US,100,US,L,Data Analyst
15,2020,MI,FT,Data Analyst,8000,USD,8000,PK,50,PK,L,Data Analyst
16,2020,EN,FT,Data Engineer,4450000,JPY,41689,JP,100,JP,S,Data Engineer
17,2020,SE,FT,Big Data Engineer,100000,EUR,114047,PL,100,GB,S,Data Engineer
18,2020,EN,FT,Data Science Consultant,423000,INR,5707,IN,50,IN,M,Data Scientist
19,2020,MI,FT,Lead Data Engineer,56000,USD,56000,PT,100,US,M,Data Engineer
20,2020,MI,FT,Machine Learning Engineer,299000,CNY,43331,CN,0,CN,M,AI Professionals
21,2020,MI,FT,Product Data Analyst,450000,INR,6072,IN,100,IN,L,Data Analyst
22,2020,SE,FT,Data Engineer,42000,EUR,47899,GR,50,GR,L,Data Engineer
23,2020,MI,FT,BI Data Analyst,98000,USD,98000,US,0,US,M,Data Analyst
24,2020,MI,FT,Lead Data Scientist,115000,USD,115000,AE,0,AE,L,Data Scientist
25,2020,EX,FT,Director of Data Science,325000,USD,325000,US,100,US,L,Data Scientist
26,2020,EN,FT,Research Scientist,42000,USD,42000,NL,50,NL,L,Data Scientist
27,2020,SE,FT,Data Engineer,720000,MXN,33511,MX,0,MX,S,Data Engineer
29,2020,SE,FT,Machine Learning Manager,157000,CAD,117104,CA,50,CA,L,AI Professionals
30,2020,MI,FT,Data Engineering Manager,51999,EUR,59303,DE,100,DE,S,Data Engineer
31,2020,EN,FT,Big Data Engineer,70000,USD,70000,US,100,US,L,Data Engineer
32,2020,SE,FT,Data Scientist,60000,EUR,68428,GR,100,US,L,Data Scientist
33,2020,MI,FT,Research Scientist,450000,USD,450000,US,0,US,M,Data Scientist
34,2020,MI,FT,Data Analyst,41000,EUR,46759,FR,50,FR,L,Data Analyst
35,2020,MI,FT,Data Engineer,65000,EUR,74130,AT,50,AT,L,Data Engineer
36,2020,MI,FT,Data Science Consultant,103000,USD,103000,US,100,US,L,Data Scientist
37,2020,EN,FT,Machine Learning Engineer,250000,USD,250000,US,50,US,L,AI Professionals
38,2020,EN,FT,Data Analyst,10000,USD,10000,NG,100,NG,S,Data Analyst
39,2020,EN,FT,Machine Learning Engineer,138000,USD,138000,US,100,US,S,AI Professionals
40,2020,MI,FT,Data Scientist,45760,USD,45760,PH,100,US,S,Data Scientist
41,2020,EX,FT,Data Engineering Manager,70000,EUR,79833,ES,50,ES,L,Data Engineer
42,2020,MI,FT,Machine Learning Infrastructure Engineer,44000,EUR,50180,PT,0,PT,M,AI Professionals
43,2020,MI,FT,Data Engineer,106000,USD,106000,US,100,US,L,Data Engineer
44,2020,MI,FT,Data Engineer,88000,GBP,112872,GB,50,GB,L,Data Engineer
46,2020,MI,FT,Data Scientist,60000,GBP,76958,GB,100,GB,S,Data Scientist
47,2020,SE,FT,Data Engineer,188000,USD,188000,US,100,US,L,Data Engineer
48,2020,MI,FT,Data Scientist,105000,USD,105000,US,100,US,L,Data Scientist
49,2020,MI,FT,Data Engineer,61500,EUR,70139,FR,50,FR,L,Data Engineer
50,2020,EN,FT,Data Analyst,450000,INR,6072,IN,0,IN,S,Data Analyst
51,2020,EN,FT,Data Analyst,91000,USD,91000,US,100,US,L,Data Analyst
52,2020,EN,FT,AI Scientist,300000,DKK,45896,DK,50,DK,S,AI Professionals
53,2020,EN,FT,Data Engineer,48000,EUR,54742,PK,100,DE,L,Data Engineer
55,2020,SE,FT,Principal Data Scientist,130000,EUR,148261,DE,100,DE,M,Data Scientist
56,2020,MI,FT,Data Scientist,34000,EUR,38776,ES,100,ES,M,Data Scientist
57,2020,MI,FT,Data Scientist,118000,USD,118000,US,100,US,M,Data Scientist
58,2020,SE,FT,Data Scientist,120000,USD,120000,US,50,US,L,Data Scientist
59,2020,MI,FT,Data Scientist,138350,USD,138350,US,100,US,M,Data Scientist
60,2020,MI,FT,Data Engineer,110000,USD,110000,US,100,US,L,Data Engineer
61,2020,MI,FT,Data Engineer,130800,USD,130800,ES,100,US,M,Data Engineer
63,2020,SE,FT,Data Scientist,412000,USD,412000,US,100,US,L,Data Scientist
64,2020,SE,FT,Machine Learning Engineer,40000,EUR,45618,HR,100,HR,S,AI Professionals
65,2020,EN,FT,Data Scientist,55000,EUR,62726,DE,50,DE,S,Data Scientist
66,2020,EN,FT,Data Scientist,43200,EUR,49268,DE,0,DE,S,Data Scientist
67,2020,SE,FT,Data Science Manager,190200,USD,190200,US,100,US,M,Data Scientist
68,2020,EN,FT,Data Scientist,105000,USD,105000,US,100,US,S,Data Scientist
69,2020,SE,FT,Data Scientist,80000,EUR,91237,AT,0,AT,S,Data Scientist
70,2020,MI,FT,Data Scientist,55000,EUR,62726,FR,50,LU,S,Data Scientist
71,2020,MI,FT,Data Scientist,37000,EUR,42197,FR,50,FR,S,Data Scientist
72,2021,EN,FT,Research Scientist,60000,GBP,82528,GB,50,GB,L,Data Scientist
73,2021,EX,FT,BI Data Analyst,150000,USD,150000,IN,100,US,L,Data Analyst
74,2021,EX,FT,Head of Data,235000,USD,235000,US,100,US,L,Data Analyst
75,2021,SE,FT,Data Scientist,45000,EUR,53192,FR,50,FR,L,Data Scientist
76,2021,MI,FT,BI Data Analyst,100000,USD,100000,US,100,US,M,Data Analyst
79,2021,EN,FT,Data Analyst,80000,USD,80000,US,100,US,M,Data Analyst
80,2021,SE,FT,Data Analytics Engineer,67000,EUR,79197,DE,100,DE,L,Data Analyst
81,2021,MI,FT,Data Engineer,140000,USD,140000,US,100,US,L,Data Engineer
82,2021,MI,FT,Applied Data Scientist,68000,CAD,54238,GB,50,CA,L,Data Scientist
83,2021,MI,FT,Machine Learning Engineer,40000,EUR,47282,ES,100,ES,S,AI Professionals
84,2021,EX,FT,Director of Data Science,130000,EUR,153667,IT,100,PL,L,Data Scientist
85,2021,MI,FT,Data Engineer,110000,PLN,28476,PL,100,PL,L,Data Engineer
86,2021,EN,FT,Data Analyst,50000,EUR,59102,FR,50,FR,M,Data Analyst
87,2021,MI,FT,Data Analytics Engineer,110000,USD,110000,US,100,US,L,Data Analyst
88,2021,SE,FT,Lead Data Analyst,170000,USD,170000,US,100,US,L,Data Analyst
